Date;Close
04/01/2021;6.104.897.949
05/01/2021;6.137.342.773
06/01/2021;6.065.682.129
07/01/2021;6.153.632.813
08/01/2021;6.257.834.961
11/01/2021;6.382.937.012
12/01/2021;6.395.668.945
13/01/2021;6.435.205.078
14/01/2021;6.428.314.941
15/01/2021;6.373.412.109
18/01/2021;6.389.833.984
19/01/2021;6.321.855.957
20/01/2021;6.429.757.813
21/01/2021;6.413.892.090
22/01/2021;6.307.126.953
25/01/2021;6.258.571.777
26/01/2021;6.140.170.898
27/01/2021;6.109.167.969
28/01/2021;5.979.387.207
29/01/2021;5.862.352.051
01/02/2021;6.067.544.922
02/02/2021;6.043.840.820
03/02/2021;6.077.745.117
04/02/2021;6.107.215.820
05/02/2021;6.151.729.004
08/02/2021;6.208.866.211
09/02/2021;6.181.671.875
10/02/2021;6.201.828.125
11/02/2021;6.222.520.996
15/02/2021;6.270.324.219
16/02/2021;6.292.395.996
17/02/2021;6.227.728.027
18/02/2021;6.200.308.105
19/02/2021;6.231.932.129
22/02/2021;6.255.312.012
23/02/2021;6.272.807.129
24/02/2021;6.251.054.199
25/02/2021;6.289.645.996
26/02/2021;6.241.795.898
01/03/2021;6.338.513.184
02/03/2021;6.359.205.078
03/03/2021;6.376.756.836
04/03/2021;6.290.798.828
05/03/2021;6.258.749.023
08/03/2021;6.248.464.844
09/03/2021;6.199.646.973
10/03/2021;6.264.679.199
12/03/2021;6.358.208.984
15/03/2021;6.324.258.789
16/03/2021;6.309.699.219
17/03/2021;6.277.228.027
18/03/2021;6.347.829.102
19/03/2021;6.356.160.156
22/03/2021;6.301.130.859
23/03/2021;6.252.711.914
24/03/2021;6.156.140.137
25/03/2021;6.122.875.977
26/03/2021;6.195.562.012
29/03/2021;6.166.817.871
30/03/2021;6.071.441.895
31/03/2021;5.985.521.973
01/04/2021;6.011.456.055
05/04/2021;5.970.286.133
06/04/2021;6.002.770.020
07/04/2021;6.036.616.211
08/04/2021;6.071.724.121
09/04/2021;6.070.208.984
12/04/2021;5.948.568.848
13/04/2021;5.927.435.059
14/04/2021;6.050.275.879
15/04/2021;6.079.500.977
16/04/2021;6.086.257.813
19/04/2021;6.052.540.039
20/04/2021;6.038.321.777
21/04/2021;5.993.242.188
22/04/2021;5.994.184.082
23/04/2021;6.016.863.770
26/04/2021;5.964.820.801
27/04/2021;5.959.621.094
28/04/2021;5.974.479.004
29/04/2021;6.012.960.938
30/04/2021;5.995.616.211
03/05/2021;5.952.597.168
04/05/2021;5.963.819.824
05/05/2021;5.975.911.133
06/05/2021;5.970.240.234
07/05/2021;5.928.309.082
10/05/2021;5.975.787.109
11/05/2021;5.938.351.074
17/05/2021;5.833.859.863
18/05/2021;5.834.394.043
19/05/2021;5.760.583.984
20/05/2021;5.797.597.168
21/05/2021;5.773.120.117
24/05/2021;5.763.631.836
25/05/2021;5.815.839.844
27/05/2021;5.841.828.125
28/05/2021;5.848.616.211
31/05/2021;5.947.462.891
02/06/2021;6.031.578.125
03/06/2021;6.091.513.184
04/06/2021;6.065.166.016
07/06/2021;6.069.935.059
08/06/2021;5.999.369.141
09/06/2021;6.047.475.098
10/06/2021;6.107.538.086
11/06/2021;6.095.497.070
14/06/2021;6.080.383.789
15/06/2021;6.089.038.086
16/06/2021;6.078.567.871
17/06/2021;6.068.446.777
18/06/2021;6.007.120.117
21/06/2021;5.996.252.930
22/06/2021;6.087.841.797
23/06/2021;6.034.542.969
24/06/2021;6.012.056.152
25/06/2021;6.022.398.926
28/06/2021;5.939.471.191
29/06/2021;5.949.049.805
30/06/2021;5.985.488.770
01/07/2021;6.005.958.008
02/07/2021;6.023.007.813
05/07/2021;6.005.608.887
06/07/2021;6.047.110.840
07/07/2021;6.044.037.109
08/07/2021;6.039.895.996
09/07/2021;6.039.844.238
12/07/2021;6.078.567.871
13/07/2021;6.012.032.227
14/07/2021;5.979.214.844
15/07/2021;6.046.753.906
16/07/2021;6.072.509.766
19/07/2021;6.017.394.043
21/07/2021;6.029.976.074
22/07/2021;6.137.546.875
23/07/2021;6.101.689.941
26/07/2021;6.106.394.043
27/07/2021;6.097.048.828
28/07/2021;6.088.522.949
29/07/2021;6.120.727.051
30/07/2021;6.070.039.063
02/08/2021;6.096.542.969
03/08/2021;6.130.570.801
04/08/2021;6.159.035.156
05/08/2021;6.205.416.992
06/08/2021;6.203.431.152
09/08/2021;6.127.456.055
10/08/2021;6.088.408.203
12/08/2021;6.139.651.855
13/08/2021;6.139.492.188
16/08/2021;6.087.913.086
18/08/2021;6.118.149.902
19/08/2021;5.992.321.777
20/08/2021;6.030.771.973
23/08/2021;6.109.828.125
24/08/2021;6.089.497.070
25/08/2021;6.113.240.234
26/08/2021;6.058.080.078
27/08/2021;6.041.366.211
30/08/2021;6.144.901.855
31/08/2021;6.150.298.828
01/09/2021;6.090.933.105
02/09/2021;6.078.229.004
03/09/2021;6.126.920.898
06/09/2021;6.126.937.988
07/09/2021;6.112.399.902
08/09/2021;6.026.020.020
09/09/2021;6.068.219.238
10/09/2021;6.094.873.047
13/09/2021;6.088.157.227
14/09/2021;6.129.095.215
15/09/2021;6.110.229.004
16/09/2021;6.109.941.895
17/09/2021;6.133.246.094
20/09/2021;6.076.314.941
21/09/2021;6.060.756.836
22/09/2021;6.108.265.137
23/09/2021;6.142.711.914
24/09/2021;6.144.814.941
27/09/2021;6.122.495.117
28/09/2021;6.113.111.816
29/09/2021;6.162.554.199
30/09/2021;6.286.942.871
01/10/2021;6.228.845.215
04/10/2021;6.342.686.035
05/10/2021;6.288.048.828
06/10/2021;6.417.323.242
07/10/2021;6.416.395.996
08/10/2021;6.481.769.043
11/10/2021;6.459.696.777
12/10/2021;6.486.267.090
13/10/2021;6.536.903.809
14/10/2021;6.626.113.770
15/10/2021;6.633.337.891
18/10/2021;6.658.768.066
19/10/2021;6.655.998.047
21/10/2021;6.632.972.168
22/10/2021;6.643.737.793
25/10/2021;6.625.696.777
26/10/2021;6.656.937.012
27/10/2021;6.602.208.984
28/10/2021;6.524.076.172
29/10/2021;6.591.346.191
01/11/2021;6.552.889.160
02/11/2021;6.493.274.902
03/11/2021;6.552.129.883
04/11/2021;6.586.442.871
05/11/2021;6.581.785.156
08/11/2021;6.632.296.875
09/11/2021;6.669.924.805
10/11/2021;6.683.145.020
11/11/2021;6.691.341.797
12/11/2021;6.651.054.199
15/11/2021;6.616.028.809
16/11/2021;6.651.207.031
17/11/2021;6.675.804.199
18/11/2021;6.636.469.238
19/11/2021;6.720.263.184
22/11/2021;6.723.386.230
23/11/2021;6.677.875.977
24/11/2021;6.683.276.855
25/11/2021;6.699.346.191
26/11/2021;6.561.553.223
29/11/2021;6.608.290.039
30/11/2021;6.533.932.129
01/12/2021;6.507.676.758
02/12/2021;6.583.819.824
03/12/2021;6.538.505.859
06/12/2021;6.547.116.211
07/12/2021;6.602.568.848
08/12/2021;6.603.797.852
09/12/2021;6.643.932.129
10/12/2021;6.652.921.875
13/12/2021;6.662.871.094
14/12/2021;6.615.637.207
15/12/2021;6.626.256.836
16/12/2021;6.594.797.852
17/12/2021;6.601.932.129
20/12/2021;6.547.111.816
21/12/2021;6.554.309.082
22/12/2021;6.529.592.773
23/12/2021;6.555.550.781
24/12/2021;6.562.899.902
27/12/2021;6.575.443.848
28/12/2021;6.598.342.773
29/12/2021;6.600.676.758
30/12/2021;6.581.481.934
03/01/2022;6.665.308.105
04/01/2022;6.695.373.047
05/01/2022;6.662.298.828
06/01/2022;6.653.351.074
07/01/2022;6.701.315.918
10/01/2022;6.691.124.023
11/01/2022;6.647.970.215
12/01/2022;6.647.064.941
13/01/2022;6.658.355.957
14/01/2022;6.693.400.879
17/01/2022;6.645.047.852
18/01/2022;6.614.059.082
19/01/2022;6.591.980.957
20/01/2022;6.626.871.094
21/01/2022;6.726.373.047
24/01/2022;6.655.166.016
25/01/2022;6.568.172.852
26/01/2022;6.600.818.848
27/01/2022;6.611.161.133
28/01/2022;6.645.511.230
31/01/2022;6.631.150.879
02/02/2022;6.707.651.855
03/02/2022;6.683.851.074
04/02/2022;6.731.391.113
07/02/2022;6.804.937.012
08/02/2022;6.789.521.973
09/02/2022;6.834.605.957
10/02/2022;6.823.642.090
11/02/2022;6.815.606.934
14/02/2022;6.734.485.840
15/02/2022;6.807.497.070
16/02/2022;6.850.198.242
17/02/2022;6.835.117.188
18/02/2022;6.892.817.871
21/02/2022;6.902.964.844
22/02/2022;6.861.994.141
23/02/2022;6.920.056.152
24/02/2022;6.817.819.824
25/02/2022;6.888.170.898
01/03/2022;6.921.440.918
02/03/2022;6.868.401.855
04/03/2022;6.928.328.125
07/03/2022;6.869.065.918
08/03/2022;6.814.183.105
09/03/2022;6.864.440.918
10/03/2022;6.924.007.813
11/03/2022;6.922.602.051
14/03/2022;6.952.204.102
15/03/2022;6.918.185.059
16/03/2022;6.992.395.020
17/03/2022;6.964.384.766
18/03/2022;6.954.964.844
21/03/2022;6.955.181.152
22/03/2022;7.000.821.777
23/03/2022;6.996.115.234
24/03/2022;7.049.685.059
25/03/2022;7.002.532.227
28/03/2022;7.049.603.027
29/03/2022;7.011.688.965
30/03/2022;7.053.189.941
31/03/2022;7.071.441.895
01/04/2022;7.078.759.766
04/04/2022;7.116.217.773
05/04/2022;7.148.298.828
06/04/2022;7.104.215.820
07/04/2022;7.127.367.188
08/04/2022;7.210.834.961
11/04/2022;7.203.793.945
12/04/2022;7.214.780.762
13/04/2022;7.262.776.855
14/04/2022;7.235.532.227
18/04/2022;7.275.289.063
19/04/2022;7.199.231.934
20/04/2022;7.227.361.816
21/04/2022;7.276.192.871
22/04/2022;7.225.605.957
25/04/2022;7.215.979.004
26/04/2022;7.232.152.832
27/04/2022;7.196.764.160
28/04/2022;7.228.914.063
09/05/2022;6.909.750.977
10/05/2022;6.819.793.945
11/05/2022;6.816.203.125
12/05/2022;6.599.839.844
13/05/2022;6.597.993.164
17/05/2022;6.644.466.797
18/05/2022;6.793.414.063
19/05/2022;6.823.334.961
20/05/2022;6.918.144.043
23/05/2022;6.840.774.902
24/05/2022;6.914.141.113
25/05/2022;6.883.503.906
27/05/2022;7.026.255.859
30/05/2022;7.037.564.941
31/05/2022;7.148.970.215
02/06/2022;7.148.723.145
03/06/2022;7.182.960.938
06/06/2022;7.096.582.031
07/06/2022;7.141.044.922
08/06/2022;7.193.313.965
09/06/2022;7.182.830.078
10/06/2022;7.086.647.949
13/06/2022;6.995.441.895
14/06/2022;7.049.881.836
15/06/2022;7.007.049.805
16/06/2022;7.050.326.172
17/06/2022;6.936.966.797
20/06/2022;6.976.376.953
21/06/2022;7.044.070.801
22/06/2022;6.984.311.035
23/06/2022;6.998.267.090
24/06/2022;7.042.937.012
27/06/2022;7.016.055.176
28/06/2022;6.996.456.055
29/06/2022;6.942.351.074
30/06/2022;6.911.582.031
01/07/2022;6.794.328.125
04/07/2022;6.639.171.875
05/07/2022;6.703.266.113
06/07/2022;6.646.410.156
07/07/2022;6.652.586.914
08/07/2022;6.740.219.238
11/07/2022;6.722.145.020
12/07/2022;6.718.293.945
13/07/2022;6.640.990.234
14/07/2022;6.690.086.914
15/07/2022;6.651.904.785
18/07/2022;6.659.252.930
19/07/2022;6.736.091.797
20/07/2022;6.874.743.164
21/07/2022;6.864.130.859
22/07/2022;6.886.961.914
25/07/2022;6.858.407.227
26/07/2022;6.871.537.109
27/07/2022;6.898.215.820
28/07/2022;6.956.816.895
29/07/2022;6.951.123.047
01/08/2022;6.968.783.203
02/08/2022;6.988.157.227
03/08/2022;7.046.634.766
04/08/2022;7.057.348.145
05/08/2022;7.084.654.785
08/08/2022;7.086.849.121
09/08/2022;7.102.879.883
10/08/2022;7.086.235.840
11/08/2022;7.160.384.766
12/08/2022;7.129.276.855
15/08/2022;7.093.275.879
16/08/2022;7.133.453.125
18/08/2022;7.186.558.105
19/08/2022;7.172.434.082
22/08/2022;7.107.982.910
23/08/2022;7.163.265.137
24/08/2022;7.194.706.055
25/08/2022;7.174.208.008
26/08/2022;7.135.248.047
29/08/2022;7.132.044.922
30/08/2022;7.159.473.145
31/08/2022;7.178.589.844
01/09/2022;7.153.104.004
02/09/2022;7.177.179.199
05/09/2022;7.231.882.813
06/09/2022;7.233.154.785
07/09/2022;7.186.756.836
08/09/2022;7.232.017.090
09/09/2022;7.242.655.762
12/09/2022;7.254.463.867
13/09/2022;7.318.016.113
14/09/2022;7.278.078.125
15/09/2022;7.305.601.074
16/09/2022;7.168.870.117
19/09/2022;7.195.487.793
20/09/2022;7.196.951.172
21/09/2022;7.188.313.965
22/09/2022;7.218.905.762
23/09/2022;7.178.583.008
26/09/2022;7.127.502.930
27/09/2022;7.112.449.219
28/09/2022;7.077.030.762
29/09/2022;7.036.198.242
30/09/2022;7.040.797.852
03/10/2022;7.009.717.773
04/10/2022;7.072.255.859
05/10/2022;7.075.384.766
06/10/2022;7.076.623.047
07/10/2022;7.026.783.203
10/10/2022;6.994.395.020
11/10/2022;6.939.145.020
12/10/2022;6.909.208.984
13/10/2022;6.880.625.000
14/10/2022;6.814.529.785
17/10/2022;6.831.115.234
18/10/2022;6.834.494.141
19/10/2022;6.860.416.016
20/10/2022;6.980.651.855
21/10/2022;7.017.770.996
24/10/2022;7.053.043.945
25/10/2022;7.048.379.883
26/10/2022;7.043.938.965
27/10/2022;7.091.761.230
28/10/2022;7.056.040.039
31/10/2022;7.098.890.137
01/11/2022;7.052.303.223
02/11/2022;7.015.689.941
03/11/2022;7.034.573.242
04/11/2022;7.045.526.855
07/11/2022;7.102.395.996
08/11/2022;7.050.125.977
09/11/2022;7.070.083.984
10/11/2022;6.966.836.914
11/11/2022;7.089.206.055
14/11/2022;7.019.392.090
15/11/2022;7.035.500.000
16/11/2022;7.014.383.789
17/11/2022;7.044.985.840
18/11/2022;7.082.181.152
21/11/2022;7.063.247.070
22/11/2022;7.030.587.891
23/11/2022;7.054.123.047
24/11/2022;7.080.515.137
25/11/2022;7.053.149.902
28/11/2022;7.017.357.910
29/11/2022;7.012.068.848
30/11/2022;7.081.312.988
01/12/2022;7.020.803.223
02/12/2022;7.019.639.160
05/12/2022;6.987.328.125
06/12/2022;6.892.569.824
07/12/2022;6.818.751.953
08/12/2022;6.804.227.051
09/12/2022;6.715.118.164
12/12/2022;6.734.452.148
13/12/2022;6.810.315.918
14/12/2022;6.801.749.023
15/12/2022;6.751.859.863
16/12/2022;6.812.192.871
19/12/2022;6.779.698.242
20/12/2022;6.768.315.918
21/12/2022;6.820.663.086
22/12/2022;6.824.432.129
23/12/2022;6.800.672.852
26/12/2022;6.835.808.105
27/12/2022;6.923.026.855
28/12/2022;6.850.520.020
29/12/2022;6.860.077.148
30/12/2022;6.850.619.141
02/01/2023;6.850.983.887
03/01/2023;6.888.757.813
04/01/2023;6.813.238.770
05/01/2023;6.653.840.820
06/01/2023;6.684.558.105
09/01/2023;6.688.265.137
10/01/2023;6.622.499.023
11/01/2023;6.584.453.125
12/01/2023;6.629.934.082
13/01/2023;6.641.830.078
16/01/2023;6.688.057.129
17/01/2023;6.767.339.844
18/01/2023;6.765.786.133
19/01/2023;6.819.907.227
20/01/2023;6.874.931.152
24/01/2023;6.860.854.004
25/01/2023;6.829.930.176
26/01/2023;6.864.817.871
27/01/2023;6.898.980.957
30/01/2023;6.872.480.957
31/01/2023;6.839.341.797
01/02/2023;6.862.257.813
02/02/2023;6.890.571.777
03/02/2023;6.911.731.934
06/02/2023;6.873.791.016
07/02/2023;6.935.300.781
08/02/2023;6.940.124.023
09/02/2023;6.897.365.234
10/02/2023;6.880.329.102
13/02/2023;6.900.140.137
14/02/2023;6.941.854.980
15/02/2023;6.914.538.086
16/02/2023;6.895.664.063
17/02/2023;6.895.713.867
20/02/2023;6.894.716.797
21/02/2023;6.873.404.785
22/02/2023;6.809.967.773
23/02/2023;6.839.454.102
24/02/2023;6.856.576.172
27/02/2023;6.854.776.855
28/02/2023;6.843.238.770
01/03/2023;6.844.936.035
02/03/2023;6.857.415.039
03/03/2023;6.813.636.230
06/03/2023;6.807.000.977
07/03/2023;6.766.757.813
08/03/2023;6.776.370.117
09/03/2023;6.799.794.922
10/03/2023;6.765.301.758
13/03/2023;6.786.955.078
14/03/2023;6.641.813.965
15/03/2023;6.628.137.207
16/03/2023;6.565.728.027
17/03/2023;6.678.236.816
20/03/2023;6.612.490.234
21/03/2023;6.691.610.840
24/03/2023;6.762.253.906
27/03/2023;6.708.933.105
28/03/2023;6.760.328.125
29/03/2023;6.839.436.035
30/03/2023;6.808.951.172
31/03/2023;6.805.276.855
03/04/2023;6.827.174.805
04/04/2023;6.833.178.223
05/04/2023;6.819.674.805
06/04/2023;6.792.765.137
10/04/2023;6.771.234.863
11/04/2023;6.811.313.965
12/04/2023;6.798.963.867
13/04/2023;6.785.598.145
14/04/2023;6.818.574.219
17/04/2023;6.787.582.031
18/04/2023;6.821.807.129
26/04/2023;6.910.146.973
27/04/2023;6.945.477.051
28/04/2023;6.915.715.820
02/05/2023;6.863.301.758
03/05/2023;6.812.722.168
04/05/2023;6.844.026.855
05/05/2023;6.787.630.859
08/05/2023;6.769.630.859
09/05/2023;6.779.979.980
10/05/2023;6.811.904.785
11/05/2023;6.755.937.988
12/05/2023;6.707.763.184
15/05/2023;6.711.740.234
16/05/2023;6.676.563.965
17/05/2023;6.663.113.770
19/05/2023;6.700.561.035
22/05/2023;6.729.646.973
23/05/2023;6.736.684.082
24/05/2023;6.745.804.199
25/05/2023;6.704.230.957
26/05/2023;6.687.000.977
29/05/2023;6.681.102.051
30/05/2023;6.636.422.852
31/05/2023;6.633.261.230
05/06/2023;6.633.437.012
06/06/2023;6.618.922.852
07/06/2023;6.619.754.883
08/06/2023;6.666.330.078
09/06/2023;6.694.023.926
12/06/2023;6.722.373.047
13/06/2023;6.719.014.160
14/06/2023;6.699.716.797
15/06/2023;6.713.794.922
16/06/2023;6.698.546.875
19/06/2023;6.686.059.082
20/06/2023;6.660.455.078
21/06/2023;6.702.625.000
22/06/2023;6.652.261.230
23/06/2023;6.639.732.910
26/06/2023;6.664.667.969
27/06/2023;6.661.878.906
03/07/2023;6.696.715.820
04/07/2023;6.681.753.906
05/07/2023;6.718.977.051
06/07/2023;6.757.331.055
07/07/2023;6.716.458.984
10/07/2023;6.731.038.086
11/07/2023;6.796.923.828
12/07/2023;6.808.208.984
13/07/2023;6.810.212.891
14/07/2023;6.869.571.777
17/07/2023;6.867.144.043
18/07/2023;6.830.203.125
20/07/2023;6.864.188.965
21/07/2023;6.880.801.758
24/07/2023;6.899.395.996
25/07/2023;6.917.710.938
26/07/2023;6.948.278.809
27/07/2023;6.896.663.086
28/07/2023;6.900.229.980
31/07/2023;6.931.358.887
01/08/2023;6.886.496.094
02/08/2023;6.854.509.766
03/08/2023;6.898.077.148
04/08/2023;6.852.841.797
07/08/2023;6.886.366.211
08/08/2023;6.868.812.988
09/08/2023;6.875.111.816
10/08/2023;6.893.275.879
11/08/2023;6.879.979.004
14/08/2023;6.910.171.875
15/08/2023;6.915.101.074
16/08/2023;6.900.538.086
18/08/2023;6.859.912.109
21/08/2023;6.866.033.203
22/08/2023;6.916.450.195
23/08/2023;6.921.410.156
24/08/2023;6.899.392.090
25/08/2023;6.895.442.871
28/08/2023;6.921.727.051
29/08/2023;6.957.834.961
30/08/2023;6.966.655.762
31/08/2023;6.953.259.766
01/09/2023;6.977.653.809
04/09/2023;6.996.750.000
05/09/2023;6.991.708.008
06/09/2023;6.995.953.125
07/09/2023;6.954.808.105
08/09/2023;6.924.779.785
11/09/2023;6.963.393.066
12/09/2023;6.933.969.238
13/09/2023;6.935.476.074
14/09/2023;6.959.333.008
15/09/2023;6.982.791.016
18/09/2023;6.936.083.008
19/09/2023;6.980.320.801
20/09/2023;7.011.681.152
21/09/2023;6.991.465.820
22/09/2023;7.016.844.238
25/09/2023;6.998.380.859
26/09/2023;6.923.799.805
27/09/2023;6.937.828.125
29/09/2023;6.939.892.090
02/10/2023;6.961.458.984
03/10/2023;6.940.887.207
04/10/2023;6.886.576.172
05/10/2023;6.874.826.172
06/10/2023;6.888.518.066
09/10/2023;6.891.455.078
10/10/2023;6.922.187.988
11/10/2023;6.931.752.930
12/10/2023;6.935.150.879
13/10/2023;6.926.779.785
16/10/2023;6.896.291.992
17/10/2023;6.939.615.234
18/10/2023;6.927.905.762
19/10/2023;6.846.426.758
20/10/2023;6.849.167.969
23/10/2023;6.741.963.867
24/10/2023;6.806.762.207
25/10/2023;6.834.388.184
26/10/2023;6.714.519.043
27/10/2023;6.758.792.969
30/10/2023;6.735.892.090
31/10/2023;6.752.210.938
01/11/2023;6.642.417.969
02/11/2023;6.751.386.230
03/11/2023;6.788.850.098
06/11/2023;6.878.835.938
07/11/2023;6.843.790.039
08/11/2023;6.804.105.957
09/11/2023;6.838.232.910
10/11/2023;6.809.263.184
13/11/2023;6.838.312.012
14/11/2023;6.862.055.176
15/11/2023;6.958.205.078
16/11/2023;6.958.007.813
17/11/2023;6.977.667.969
20/11/2023;6.994.888.184
21/11/2023;6.961.790.039
22/11/2023;6.906.953.125
23/11/2023;7.004.344.238
24/11/2023;7.009.630.859
27/11/2023;7.013.405.762
28/11/2023;7.041.073.242
29/11/2023;7.036.086.914
30/11/2023;7.080.741.211
01/12/2023;7.059.905.762
04/12/2023;7.093.600.098
05/12/2023;7.100.854.980
06/12/2023;7.087.395.020
07/12/2023;7.134.623.047
08/12/2023;7.159.598.145
11/12/2023;7.088.785.156
12/12/2023;7.125.307.129
13/12/2023;7.075.340.820
14/12/2023;7.176.016.113
15/12/2023;7.190.987.793
18/12/2023;7.119.524.902
19/12/2023;7.187.846.191
20/12/2023;7.219.666.992
21/12/2023;7.209.619.141
22/12/2023;7.237.519.043
27/12/2023;7.245.916.016
28/12/2023;7.303.888.184
29/12/2023;7.272.796.875
02/01/2024;7.323.587.891
03/01/2024;7.279.090.820
04/01/2024;7.359.763.184
05/01/2024;7.350.619.141
08/01/2024;7.283.575.195
09/01/2024;7.200.203.125
10/01/2024;7.227.296.875
11/01/2024;7.219.963.867
12/01/2024;7.241.138.184
15/01/2024;7.224.000.977
16/01/2024;7.242.787.109
17/01/2024;7.200.634.766
18/01/2024;7.252.966.797
19/01/2024;7.227.401.855
22/01/2024;7.247.928.223
23/01/2024;7.256.229.004
24/01/2024;7.227.823.242
25/01/2024;7.178.041.992
26/01/2024;7.137.087.891
29/01/2024;7.157.174.805
30/01/2024;7.192.215.820
31/01/2024;7.207.940.918
01/02/2024;7.201.695.801
02/02/2024;7.238.785.156
05/02/2024;7.198.615.234
06/02/2024;7.247.408.203
07/02/2024;7.235.151.855
12/02/2024;7.297.668.945
13/02/2024;7.209.741.211
15/02/2024;7.303.280.762
16/02/2024;7.335.544.922
19/02/2024;7.296.702.148
20/02/2024;7.352.601.074
21/02/2024;7.349.020.996
22/02/2024;7.339.636.230
23/02/2024;7.295.095.215
26/02/2024;7.283.823.242
27/02/2024;7.285.316.895
28/02/2024;7.328.636.230
29/02/2024;7.316.110.840
01/03/2024;7.311.907.227
04/03/2024;7.276.749.023
05/03/2024;7.247.459.961
06/03/2024;7.329.800.781
07/03/2024;7.373.963.867
08/03/2024;7.381.907.227
13/03/2024;7.421.207.031
14/03/2024;7.433.314.941
15/03/2024;7.328.054.199
18/03/2024;7.302.449.219
19/03/2024;7.336.746.094
20/03/2024;7.331.127.930
21/03/2024;7.338.353.027
22/03/2024;7.350.151.855
25/03/2024;7.377.759.766
26/03/2024;7.365.664.063
27/03/2024;7.310.091.797
28/03/2024;7.288.812.988
